text,label
"Microsoft revenue beat analyst expectations after strong cloud demand.",positive
"Apple shares rose as services revenue reached a quarterly record.",positive
"Nvidia announced stronger guidance driven by data center chip demand.",positive
"Tesla margins improved after lower input costs and steady deliveries.",positive
"Amazon reported accelerating AWS growth and better operating income.",positive
"Meta stock gained after advertising revenue recovered faster than expected.",positive
"The company raised its full-year outlook following resilient consumer demand.",positive
"Analysts upgraded the stock after management announced a larger buyback.",positive
"Free cash flow improved as the firm reduced expenses and inventory levels.",positive
"The bank posted higher net interest income and stable credit quality.",positive
"Shares were little changed after earnings matched Wall Street estimates.",neutral
"The company maintained guidance while noting uncertain macro conditions.",neutral
"Analysts kept a hold rating after mixed quarterly results.",neutral
"Revenue was broadly in line with consensus while margins were unchanged.",neutral
"Management said demand remained stable across most business segments.",neutral
"The stock traded flat as investors waited for the next earnings call.",neutral
"The firm announced a routine leadership transition effective next quarter.",neutral
"Quarterly cash flow was steady compared with the prior year.",neutral
"The company reiterated its capital allocation plan during investor day.",neutral
"Market reaction was muted after the firm released preliminary results.",neutral
"Shares fell after the company missed revenue expectations.",negative
"The firm cut its full-year forecast because of slowing customer demand.",negative
"Margins compressed as higher costs weighed on operating income.",negative
"Analysts downgraded the stock after weaker-than-expected guidance.",negative
"The company reported a larger loss as restructuring expenses increased.",negative
"Free cash flow declined after inventory and receivables rose sharply.",negative
"The bank increased loan-loss provisions amid deteriorating credit trends.",negative
"Regulatory scrutiny pressured shares after a new investigation was announced.",negative
"The retailer warned that discounting would hurt profitability next quarter.",negative
"The stock dropped as management paused the share repurchase program.",negative
